Program Title,Award Level,Code,Faculty,url
Engineering Science,Masters Degree (Coursework),8338,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8338.html
Engineering Science,Graduate Certificate,7320,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7320.html
Engineering Science,Graduate Diploma,5341,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5341.html
Environmental Law and Policy,Graduate Diploma,5212,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5212.html
Environmental Law and Policy,Masters Degree (Coursework),9212,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9212.html
Environmental Management,Masters Degree (Coursework),8623,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8623.html
Environmental Management,Graduate Certificate,7339,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7339.html
Environmental Management,Graduate Diploma,5499,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5499.html
Finance,Masters Degree (Coursework),8406,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8406.html
Financial Analysis,Masters Degree (Coursework),8413,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8413.html
Financial Mathematics,Masters Degree (Coursework),8161,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8161.html
Financial Planning,Graduate Diploma,5273,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5273.html
Financial Planning,Graduate Certificate,7273,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7273.html
Financial Planning,Masters Degree (Coursework),9273,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9273.html
Food Science,Masters Degree (Coursework),8037,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8037.html
Food Science,Graduate Diploma,5037,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5037.html
Forensic Mental Health,Graduate Diploma,5512,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5512.html
Forensic Mental Health,Masters Degree (Coursework),9012,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9012.html
Forensic Mental Health,Graduate Certificate,7312,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7312.html
Health Management,Graduate Certificate,7360,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7360.html
Health Management,Masters Degree (Coursework),8901,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8901.html
Health Management,Graduate Diploma,5509,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5509.html
Health Management (Extension),Masters Degree (Coursework),8902,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8902.html
Human Rights Law and Policy,Masters Degree (Coursework),9211,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9211.html
Human Rights Law and Policy,Graduate Diploma,5211,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5211.html
Indigenous Studies,Graduate Certificate,7223,DVC (E) Board of Studies,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7223.html
Indigenous Studies,Masters Degree (Coursework),8223,DVC (E) Board of Studies,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8223.html
Indigenous Studies,Graduate Diploma,5223,DVC (E) Board of Studies,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5223.html
Infect Diseases Intelligence,Graduate Certificate,7362,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7362.html
Infect Diseases Intelligence,Graduate Diploma,5362,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5362.html
